Plant #,Treatment,Germinant #,Germination Day,Height (on germination day) ,Root Length (mm),Root Weight (g),Total Weight (g),AGB Weight (g),notes,extra notes,,,,,,,,,,,,,,,,
1,NC_FL,1A,,,,,,,,Day 0 of experiment: 1/16,,,,,,,,,,,,,,,,
1,NC_FL,1B,,,,,,,,Snow storm settled on 1/24,,,,,,,,,,,,,,,,
1,NC_FL,2A,,,,,,,,"Was able to return to GH 1/28,1/29,1/30",,,,,,,,,,,,,,,repeat,start
1,NC_FL,2B,,,,,,,,Snowed again 1/31,,,,,,,,,,,,,,,20,1
1,NC_FL,3A,,,,,,,,Able to return 2/4,,,,,,,,,,,,,,,step,stop
1,NC_FL,3B,,,,,,,,,,,,,,,,,,,,,,,1,120
1,NC_FL,4A,29,4,98.42,0.0011,0.0036,0.0025,,,,,,,,,,,,,,,,,,
1,NC_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
1,NC_FL,5A,34,9,60.55,0,0.0025,0.0025,no root present,,,,,,,,,,,,,,,,,
1,NC_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
1,NC_FL,6A,,,,,,,,,,,,,,,,,,,,,,,,
1,NC_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
1,NC_FL,7A,31,10,74.09,0.0006,0.003,0.0024,,,,,,,,,,,,,,,,,,
1,NC_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
1,NC_FL,8A,20,3,133.07,0.0015,0.0046,0.0031,,,,,,,,,,,,,,,,,,
1,NC_FL,8B,22,4,80.01,0.0015,0.0048,0.0033,,,,,,,,,,,,,,,,,,
1,NC_FL,9A,26,3,81.81,0.0015,0.0039,0.0024,,,,,,,,,,,,,,,,,,
1,NC_FL,9B,27,4,97.92,0.001,0.0037,0.0027,,,,,,,,,,,,,,,,,,
1,NC_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
1,NC_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,2A,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,3A,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,4A,35,4,42.52,0,0.0011,0.0011,no root present,,,,,,,,,,,,,,,,,
2,CON_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,5A,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,6A,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,7A,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,8A,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,9A,22,9,56.86,0.001,0.0041,0.0031,,,,,,,,,,,,,,,,,,
2,CON_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,10A,,,,,,,,,,,,,,,,,,,,,,,,
2,CON_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
3,FL_FL,1A,26,6,73.05,0.0004,0.0033,0.0029,,,,,,,,,,,,,,,,,,
3,FL_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
3,FL_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
3,FL_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
3,FL_FL,3A,32,6,79.69,0.0002,0.0034,0.0032,,,,,,,,,,,,,,,,,,
3,FL_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
3,FL_FL,4A,19,10,99.73,0.0011,0.0047,0.0036,,,,,,,,,,,,,,,,,,
3,FL_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
3,FL_FL,5A,,,62.77,0.0004,0.0026,0.0022,,,,,,,,,,,,,,,,,,
3,FL_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
3,FL_FL,6A,32,5,112.41,0.0018,0.0079,0.0061,,,,,,,,,,,,,,,,,,
3,FL_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
3,FL_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
3,FL_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
3,FL_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
3,FL_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
3,FL_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
3,FL_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
3,FL_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
3,FL_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
4,CON_FL,1A,19,8,64.5,0.0003,0.0026,0.0023,,,,,,,,,,,,,,,,,,
4,CON_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
4,CON_FL,2A,19,18,123.82,0.0018,0.0063,0.0045,,,,,,,,,,,,,,,,,,
4,CON_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
4,CON_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
4,CON_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
4,CON_FL,4A,19,5,109.48,0.0007,0.0039,0.0032,,,,,,,,,,,,,,,,,,
4,CON_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
4,CON_FL,5A,19,17,145.75,0.0012,0.0049,0.0037,,,,,,,,,,,,,,,,,,
4,CON_FL,5B,19,7,153.69,0.0007,0.0056,0.0049,,,,,,,,,,,,,,,,,,
4,CON_FL,6A,19,5,134.14,0.0019,0.0051,0.0032,,,,,,,,,,,,,,,,,,
4,CON_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
4,CON_FL,7A,19,17,141.43,0.0025,0.0075,0.005,,,,,,,,,,,,,,,,,,
4,CON_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
4,CON_FL,8A,19,2,118.92,0.0018,0.0053,0.0035,,,,,,,,,,,,,,,,,,
4,CON_FL,8B,22,9,80.67,0.0005,0.0048,0.0043,,,,,,,,,,,,,,,,,,
4,CON_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
4,CON_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
4,CON_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
4,CON_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
5,CON_FL,1A,19,3,69.42,0.0008,0.0059,0.0051,,,,,,,,,,,,,,,,,,
5,CON_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
5,CON_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
5,CON_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
5,CON_FL,3A,22,6,29.41,0.0001,0.0022,0.0021,,,,,,,,,,,,,,,,,,
5,CON_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
5,CON_FL,4A,20,2,120.18,0.0018,0.0047,0.0029,,,,,,,,,,,,,,,,,,
5,CON_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
5,CON_FL,5A,19,25,119.86,0.0008,0.0034,0.0026,,,,,,,,,,,,,,,,,,
5,CON_FL,5B,19,16,131.08,0.0007,0.0045,0.0038,,,,,,,,,,,,,,,,,,
5,CON_FL,6A,19,8,150.48,0.0009,0.0047,0.0038,,,,,,,,,,,,,,,,,,
5,CON_FL,6B,19,4,140.87,0.0011,0.0041,0.003,,,,,,,,,,,,,,,,,,
5,CON_FL,7A,19,7,160.09,0.0014,0.005,0.0036,,,,,,,,,,,,,,,,,,
5,CON_FL,7B,19,2,177.13,0.0015,0.0043,0.0028,,,,,,,,,,,,,,,,,,
5,CON_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
5,CON_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
5,CON_FL,9A,19,4,135.09,0.001,0.005,0.004,,,,,,,,,,,,,,,,,,
5,CON_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
5,CON_FL,10A,19,11,139.33,0.0016,0.0045,0.0029,,,,,,,,,,,,,,,,,,
5,CON_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
6,FL_FL,1A,22,3,98.36,0.001,0.0038,0.0028,,,,,,,,,,,,,,,,,,
6,FL_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
6,FL_FL,2A,19,4,85.26,0.0004,0.003,0.0026,,,,,,,,,,,,,,,,,,
6,FL_FL,2B,22,3,107.22,0.0015,0.0078,0.0063,,,,,,,,,,,,,,,,,,
6,FL_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
6,FL_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
6,FL_FL,4A,19,10,50.79,0.0004,0.0058,0.0054,,,,,,,,,,,,,,,,,,
6,FL_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
6,FL_FL,5A,,,,,,,,,,,,,,,,,,,,,,,,
6,FL_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
6,FL_FL,6A,19,16,100.19,0.0017,0.0054,0.0037,,,,,,,,,,,,,,,,,,
6,FL_FL,6B,19,9,120.92,0.0012,0.007,0.0058,,,,,,,,,,,,,,,,,,
6,FL_FL,7A,19,9,66.62,0.0005,0.0047,0.0042,,,,,,,,,,,,,,,,,,
6,FL_FL,7B,19,6,67.25,0.0016,0.0055,0.0039,,,,,,,,,,,,,,,,,,
6,FL_FL,8A,19,2,78.91,0.0016,0.0052,0.0036,,,,,,,,,,,,,,,,,,
6,FL_FL,8B,19,1,85.83,0.0013,0.0056,0.0043,,,,,,,,,,,,,,,,,,
6,FL_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
6,FL_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
6,FL_FL,10A,19,14,56.2,0.0009,0.0057,0.0048,,,,,,,,,,,,,,,,,,
6,FL_FL,10B,19,8,66.37,0.0006,0.0041,0.0035,,,,,,,,,,,,,,,,,,
7,CON_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
7,CON_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
7,CON_NC,2A,,,,,,,,,,,,,,,,,,,,,,,,
7,CON_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
7,CON_NC,3A,,,,,,,,,,,,,,,,,,,,,,,,
7,CON_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
7,CON_NC,4A,22,9,129.88,0.0015,0.0039,0.0024,,,,,,,,,,,,,,,,,,
7,CON_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
7,CON_NC,5A,19,8,43.76,0.0003,0.0018,0.0015,,,,,,,,,,,,,,,,,,
7,CON_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
7,CON_NC,6A,24,7,116.23,0.0003,0.0029,0.0026,,,,,,,,,,,,,,,,,,
7,CON_NC,6B,31,4,94.3,0.0005,0.0032,0.0027,,,,,,,,,,,,,,,,,,
7,CON_NC,7A,22,12,59.98,0.0006,0.0039,0.0033,,,,,,,,,,,,,,,,,,
7,CON_NC,7B,22,11,172.06,0.0014,0.0042,0.0028,,,,,,,,,,,,,,,,,,
7,CON_NC,8A,,,,,,,,,,,,,,,,,,,,,,,,
7,CON_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
7,CON_NC,9A,20,3,138.58,0.0013,0.0063,0.005,,,,,,,,,,,,,,,,,,
7,CON_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
7,CON_NC,10A,,,,,,,,,,,,,,,,,,,,,,,,
7,CON_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
8,CON_NC,1A,24,6,83.66,0.0008,0.0036,0.0028,,,,,,,,,,,,,,,,,,
8,CON_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
8,CON_NC,2A,,,,,,,,,,,,,,,,,,,,,,,,
8,CON_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
8,CON_NC,3A,,,,,,,,,,,,,,,,,,,,,,,,
8,CON_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
8,CON_NC,4A,20,4,66.43,0.0011,0.005,0.0039,,,,,,,,,,,,,,,,,,
8,CON_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
8,CON_NC,5A,,,,,,,,,,,,,,,,,,,,,,,,
8,CON_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
8,CON_NC,6A,19,1,67.15,0.0013,0.0046,0.0033,,,,,,,,,,,,,,,,,,
8,CON_NC,6B,26,5,96.23,0.0007,0.0032,0.0025,,,,,,,,,,,,,,,,,,
8,CON_NC,7A,24,10,89.17,0.0013,0.0049,0.0036,,,,,,,,,,,,,,,,,,
8,CON_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
8,CON_NC,8A,19,20,61.87,0.0013,0.0066,0.0053,,,,,,,,,,,,,,,,,,
8,CON_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
8,CON_NC,9A,,,,,,,,,,,,,,,,,,,,,,,,
8,CON_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
8,CON_NC,10A,20,3,64.53,0.0008,0.0039,0.0031,,,,,,,,,,,,,,,,,,
8,CON_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,2A,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,3A,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,4A,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,5A,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,6A,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,7A,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,8A,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,9A,29,7,53.56,0.0006,0.0033,0.0027,,,,,,,,,,,,,,,,,,
9,CON_NC,9B,33,3,39.33,0.0004,0.0019,0.0015,,,,,,,,,,,,,,,,,,
9,CON_NC,10A,,,,,,,,,,,,,,,,,,,,,,,,
9,CON_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
10,FL_FL,1A,13,,123.28,0.0011,0.0053,0.0042,,,,,,,,,,,,,,,,,,
10,FL_FL,1B,,,,0,0.0016,0.0016,"no root found, germ day unknown??",,,,,,,,,,,,,,,,,
10,FL_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
10,FL_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
10,FL_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
10,FL_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
10,FL_FL,4A,19,3,141.72,0.0014,0.0053,0.0039,,,,,,,,,,,,,,,,,,
10,FL_FL,4B,24,5,,,,,germ not found,,,,,,,,,,,,,,,,,
10,FL_FL,5A,19,4,29.46,0.0004,0.0016,0.0012,"no seed capsule present, AGW weight lower",,,,,,,,,,,,,,,,,
10,FL_FL,5B,24,6,10.11,0.0004,0.0009,0.0005,,,,,,,,,,,,,,,,,,
10,FL_FL,6A,19,20,128.03,0.001,0.0046,0.0036,,,,,,,,,,,,,,,,,,
10,FL_FL,6B,19,18,63.67,0.0009,0.0043,0.0034,,,,,,,,,,,,,,,,,,
10,FL_FL,7A,19,8,150.35,0.0024,0.0072,0.0048,,,,,,,,,,,,,,,,,,
10,FL_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
10,FL_FL,8A,25,3,123.04,0.0017,0.007,0.0053,,,,,,,,,,,,,,,,,,
10,FL_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
10,FL_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
10,FL_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
10,FL_FL,10A,19,3,123.15,0.0022,0.0112,0.009,,,,,,,,,,,,,,,,,,
10,FL_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
11,NC_NC,1A,19,5,42.15,0.0008,0.0057,0.0049,,,,,,,,,,,,,,,,,,
11,NC_NC,1B,19,4,44.72,0.0014,0.0071,0.0057,,,,,,,,,,,,,,,,,,
11,NC_NC,2A,24,3,64.62,0.0002,0.0021,0.0019,,,,,,,,,,,,,,,,,,
11,NC_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
11,NC_NC,3A,,,,,,,,,,,,,,,,,,,,,,,,
11,NC_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
11,NC_NC,4A,36,11,37.18,0,0.0012,0.0012,no root present,,,,,,,,,,,,,,,,,
11,NC_NC,4B,,,62.47,0.0007,0.0022,0.0015,,,,,,,,,,,,,,,,,,
11,NC_NC,5A,29,10,91.87,0.0009,0.0042,0.0033,,,,,,,,,,,,,,,,,,
11,NC_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
11,NC_NC,6A,37,6,57.87,0.0005,0.0023,0.0018,,,,,,,,,,,,,,,,,,
11,NC_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
11,NC_NC,7A,37,5,151.08,0.0008,0.002,0.0012,,,,,,,,,,,,,,,,,,
11,NC_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
11,NC_NC,8A,,,,,,,,,,,,,,,,,,,,,,,,
11,NC_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
11,NC_NC,9A,28,4,84.8,0.0018,0.0042,0.0024,,,,,,,,,,,,,,,,,,
11,NC_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
11,NC_NC,10A,,,,,,,,,,,,,,,,,,,,,,,,
11,NC_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
12,FL_FL,1A,,,,,,,pot fell on 1/28 so this is day 0 now,,,,,,,,,,,,,,,,,
12,FL_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
12,FL_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
12,FL_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
12,FL_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
12,FL_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
12,FL_FL,4A,36,6,33.47,0.0002,0.0024,0.0022,,,,,,,,,,,,,,,,,,
12,FL_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
12,FL_FL,5A,37,6,39.24,0.0001,0.0018,0.0017,,,,,,,,,,,,,,,,,,
12,FL_FL,5B,38,3,43.85,0.0001,0.0014,0.0013,,,,,,,,,,,,,,,,,,
12,FL_FL,6A,19,5,76.53,0.0011,0.0067,0.0056,,,,,,,,,,,,,,,,,,
12,FL_FL,6B,22,24,37.83,0.0012,0.007,0.0058,,,,,,,,,,,,,,,,,,
12,FL_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
12,FL_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
12,FL_FL,8A,27,5,38.59,0.0003,0.0028,0.0025,,,,,,,,,,,,,,,,,,
12,FL_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
12,FL_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
12,FL_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
12,FL_FL,10A,29,7,66.19,0.0011,0.0041,0.003,,,,,,,,,,,,,,,,,,
12,FL_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
13,FL_FL,1A,36,6,113.91,0.0005,0.0025,0.002,,,,,,,,,,,,,,,,,,
13,FL_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
13,FL_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
13,FL_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
13,FL_FL,3A,12,8,92.3,0.0025,0.0117,0.0092,,,,,,,,,,,,,,,,,,
13,FL_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
13,FL_FL,4A,12,3,64.77,0.0026,0.0115,0.0089,,,,,,,,,,,,,,,,,,
13,FL_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
13,FL_FL,5A,19,3,94.88,0.0007,0.004,0.0033,,,,,,,,,,,,,,,,,,
13,FL_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
13,FL_FL,6A,19,25,77.11,0.001,0.0063,0.0053,,,,,,,,,,,,,,,,,,
13,FL_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
13,FL_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
13,FL_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
13,FL_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
13,FL_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
13,FL_FL,9A,13,2,102.27,0.0014,0.0066,0.0052,,,,,,,,,,,,,,,,,,
13,FL_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
13,FL_FL,10A,13,2,150.64,0.0021,0.0077,0.0056,,,,,,,,,,,,,,,,,,
13,FL_FL,10B,19,3,108.92,0.0013,0.0057,0.0044,,,,,,,,,,,,,,,,,,
14,NC_FL,1A,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,4A,24,7,76.32,0.0011,0.0063,0.0052,,,,,,,,,,,,,,,,,,
14,NC_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,5A,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,6A,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,7A,22,5,81.32,0.0013,0.0053,0.004,,,,,,,,,,,,,,,,,,
14,NC_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,9A,19,10,112.06,0.0019,0.0077,0.0058,,,,,,,,,,,,,,,,,,
14,NC_FL,9B,22,5,117.78,0.0011,0.0051,0.004,,,,,,,,,,,,,,,,,,
14,NC_FL,10A,19,11,73.25,0.0005,0.0039,0.0034,,,,,,,,,,,,,,,,,,
14,NC_FL,10B,19,9,77.15,0.0014,0.0079,0.0065,,,,,,,,,,,,,,,,,,
15,NC_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,2A,36,4,21.56,0.0003,0.0018,0.0015,,,,,,,,,,,,,,,,,,
15,NC_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,3A,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,4A,31,4,42.12,0.0002,0.0027,0.0025,,,,,,,,,,,,,,,,,,
15,NC_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,5A,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,6A,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,7A,33,7,62.75,0.0003,0.0025,0.0022,,,,,,,,,,,,,,,,,,
15,NC_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,8A,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,9A,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,9B,,,,0.0004,0.0025,0.0021,,,,,,,,,,,,,,,,,,
15,NC_NC,10A,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
16,NC_FL,1A,28,5,62.76,0.0006,0.003,0.0024,,,,,,,,,,,,,,,,,,
16,NC_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
16,NC_FL,2A,14,2,65.59,,,,,,,,,,,,,,,,,,,,,
