Plant #,Treatment,Germinant #,Germination Day,Height (on germination day) ,Root Length (mm),Root Weight (g),Total Weight (g),AGB Weight (g),notes,extra notes,,,,,,,,,,,,,,,,
32,NC_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,5A,24,2,,,,,germ not found,,,,,,,,,,,,,,,,,
32,NC_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,6A,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,1A,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,4A,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,5A,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,6A,13,4,53.48,0.0015,0.0102,0.0087,,,,,,,,,,,,,,,,,,
33,FL_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,10A,20,4,69.53,0.0007,0.0046,0.0039,,,,,,,,,,,,,,,,,,
33,FL_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,2A,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,3A,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,4A,9.5,11,91.7,0.0007,0.0028,0.0021,,,,,,,,,,,,,,,,,,
34,CON_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,5A,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,6A,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,7A,9.5,11,159.91,0.0021,0.0071,0.005,,,,,,,,,,,,,,,,,,
34,CON_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,8A,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,9A,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,10A,25,4,34.78,0.0003,0.0018,0.0015,,,,,,,,,,,,,,,,,,
34,CON_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
35,CON_FL,1A,,,,,,,,,,,,,,,,,,,,,,,,
35,CON_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
35,CON_FL,2A,19,17,53.37,0.0007,0.0036,0.0029,,,,,,,,,,,,,,,,,,
35,CON_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
35,CON_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
35,CON_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
35,CON_FL,4A,9.5,22,69.14,0.001,0.0092,0.0082,,,,,,,,,,,,,,,,,,
35,CON_FL,4B,9.5,11,52.45,0.0012,0.0109,0.0097,,,,,,,,,,,,,,,,,,
35,CON_FL,5A,,,,,,,,,,,,,,,,,,,,,,,,
35,CON_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
35,CON_FL,6A,13,8,58.79,0.0013,0.0074,0.0061,,,,,,,,,,,,,,,,,,
35,CON_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
35,CON_FL,7A,19,6,93.51,0.0051,0.0118,0.0067,,,,,,,,,,,,,,,,,,
35,CON_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
35,CON_FL,8A,14,4,21.18,0.0004,0.0037,0.0033,,,,,,,,,,,,,,,,,,
35,CON_FL,8B,29,6,72.21,0.0006,0.0047,0.0041,,,,,,,,,,,,,,,,,,
35,CON_FL,9A,9.5,19,16.86,0.0005,0.0022,0.0017,,,,,,,,,,,,,,,,,,
35,CON_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
35,CON_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
35,CON_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
36,FL_FL,1A,12,5,61.1,0.0014,0.0055,0.0041,,,,,,,,,,,,,,,,,,
36,FL_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
36,FL_FL,2A,9.5,18,66.6,0.0015,0.0087,0.0072,,,,,,,,,,,,,,,,,,
36,FL_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
36,FL_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
36,FL_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
36,FL_FL,4A,,,,,,,,,,,,,,,,,,,,,,,,
36,FL_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
36,FL_FL,5A,12,3,79.82,0.0014,0.0086,0.0072,,,,,,,,,,,,,,,,,,
36,FL_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
36,FL_FL,6A,9.5,20,59.22,0.0011,0.0076,0.0065,,,,,,,,,,,,,,,,,,
36,FL_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
36,FL_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
36,FL_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
36,FL_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
36,FL_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
36,FL_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
36,FL_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
36,FL_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
36,FL_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,2A,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,3A,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,4A,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,5A,14,5,75.42,0.0012,0.0093,0.0081,there were 2 seed capsules within this envelope,,,,,,,,,,,,,,,,,
37,NC_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,6A,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,7A,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,8A,20,4,85.97,0.0013,0.0039,0.0026,,,,,,,,,,,,,,,,,,
37,NC_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,9A,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,10A,,,,,,,,,,,,,,,,,,,,,,,,
37,NC_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,2A,14,1,39.31,0.0005,0.0078,0.0073,,,,,,,,,,,,,,,,,,
38,CON_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,3A,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,4A,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,5A,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,6A,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,7A,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,8A,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,9A,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,10A,,,,,,,,,,,,,,,,,,,,,,,,
38,CON_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,1A,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,4A,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,5A,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,6A,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,8A,24,4,56.46,0.0004,0.0034,0.003,,,,,,,,,,,,,,,,,,
39,NC_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,9A,22,4,68.95,0.0013,0.005,0.0037,,,,,,,,,,,,,,,,,,
39,NC_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
39,NC_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
40,NC_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
40,NC_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
40,NC_NC,2A,33,9,34.85,0.0003,0.0021,0.0018,,,,,,,,,,,,,,,,,,
40,NC_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
40,NC_NC,3A,,,,,,,,,,,,,,,,,,,,,,,,
40,NC_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
40,NC_NC,4A,,,,,,,,,,,,,,,,,,,,,,,,
40,NC_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
40,NC_NC,5A,19,17,56.58,0.0009,0.0045,0.0036,,,,,,,,,,,,,,,,,,
40,NC_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
40,NC_NC,6A,,,,,,,,,,,,,,,,,,,,,,,,
40,NC_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
40,NC_NC,7A,33,4,25.32,0.0002,0.0011,0.0009,,,,,,,,,,,,,,,,,,
40,NC_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
40,NC_NC,8A,,,,,,,,,,,,,,,,,,,,,,,,
40,NC_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
40,NC_NC,9A,,,,,,,,,,,,,,,,,,,,,,,,
40,NC_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
40,NC_NC,10A,19,4,38.97,0.00001,0.0023,0.0023,root did not make any weight difference.,,,,,,,,,,,,,,,,,
40,NC_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
41,CON_FL,1A,,,,,,,,,,,,,,,,,,,,,,,,
41,CON_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
41,CON_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
41,CON_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
41,CON_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
41,CON_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
41,CON_FL,4A,,,,,,,,,,,,,,,,,,,,,,,,
41,CON_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
41,CON_FL,5A,,,,,,,,,,,,,,,,,,,,,,,,
41,CON_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
41,CON_FL,6A,,,,,,,,,,,,,,,,,,,,,,,,
41,CON_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
41,CON_FL,7A,,,62.96,0.0012,0.0053,0.0041,,,,,,,,,,,,,,,,,,
41,CON_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
41,CON_FL,8A,30,2,,,,,germ not found,,,,,,,,,,,,,,,,,
41,CON_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
41,CON_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
41,CON_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
41,CON_FL,10A,12,8,54.73,0.0008,0.002,0.0012,,,,,,,,,,,,,,,,,,
41,CON_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,1A,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,2A,13,9,120.84,0.0015,0.0056,0.0041,,,,,,,,,,,,,,,,,,
42,CON_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,4A,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,5A,13,4,46.58,0.0014,0.0064,0.005,,,,,,,,,,,,,,,,,,
42,CON_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,6A,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
42,CON_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,1A,,,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,4A,9.5,15,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,5A,,,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,6A,,,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,7A,19,21,81.78,0.0013,0.0048,0.0035,,,,,,,,,,,,,,,,,,
43,CON_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,8A,28,6,29.17,0.0002,0.0029,0.0027,,,,,,,,,,,,,,,,,,
43,CON_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
43,CON_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
44,CON_FL,1A,,,,,,,,,,,,,,,,,,,,,,,,
44,CON_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
44,CON_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
44,CON_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
44,CON_FL,3A,19,7,46.62,0,0.0037,0.0037,no roots,,,,,,,,,,,,,,,,,
44,CON_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
44,CON_FL,4A,,,,,,,,,,,,,,,,,,,,,,,,
44,CON_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
44,CON_FL,5A,19,30,146.25,0.0011,0.0056,0.0045,,,,,,,,,,,,,,,,,,
44,CON_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
44,CON_FL,6A,,,,,,,,,,,,,,,,,,,,,,,,
44,CON_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
44,CON_FL,7A,14,9,172.04,0.0012,0.0033,0.0021,,,,,,,,,,,,,,,,,,
44,CON_FL,7B,22,10,122.83,0.0032,0.0097,0.0065,,,,,,,,,,,,,,,,,,
44,CON_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
44,CON_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
44,CON_FL,9A,19,21,54.11,0.0007,0.0068,0.0061,,,,,,,,,,,,,,,,,,
44,CON_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
44,CON_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
44,CON_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,1A,24,5,66.94,0.0005,0.0034,0.0029,,,,,,,,,,,,,,,,,,
45,NC_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,4A,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,5A,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,6A,19,18,68.88,0.0006,0.0036,0.003,,,,,,,,,,,,,,,,,,
45,NC_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
45,NC_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,1A,,,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,4A,12,3,81.81,0,0.0029,0.0029,no roots,,,,,,,,,,,,,,,,,
46,NC_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,5A,,,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,6A,14,4,73.7,0.0019,0.0069,0.005,,,,,,,,,,,,,,,,,,
46,NC_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,7A,19,24,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
46,NC_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
47,CON_FL,1A,12,3,81.08,0.0009,0.0081,0.0072,,,,,,,,,,,,,,,,,,
47,CON_FL,1B,19,7,63.89,0.0009,0.0048,0.0039,,,,,,,,,,,,,,,,,,
47,CON_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
47,CON_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
47,CON_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
47,CON_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
47,CON_FL,4A,,,,,,,,,,,,,,,,,,,,,,,,
47,CON_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
47,CON_FL,5A,22,8,91.49,0.0006,0.0043,0.0037,,,,,,,,,,,,,,,,,,
47,CON_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
47,CON_FL,6A,28,4,37.78,0.0004,0.0031,0.0027,,,,,,,,,,,,,,,,,,
47,CON_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
47,CON_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
47,CON_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
47,CON_FL,8A,14,5,53.27,0.0018,0.0052,0.0034,,,,,,,,,,,,,,,,,,
47,CON_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
47,CON_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
47,CON_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
47,CON_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
47,CON_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,2A,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,3A,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,4A,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,5A,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,6A,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,7A,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,8A,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,9A,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,10A,,,,,,,,,,,,,,,,,,,,,,,,
48,CON_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
49,FL_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
49,FL_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
49,FL_NC,2A,,,,,,,,,,,,,,,,,,,,,,,,
49,FL_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
49,FL_NC,3A,20,4,105.13,0.0003,0.0048,0.0045,,,,,,,,,,,,,,,,,,
49,FL_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
49,FL_NC,4A,,,,,,,,,,,,,,,,,,,,,,,,
49,FL_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
49,FL_NC,5A,,,,,,,,,,,,,,,,,,,,,,,,
49,FL_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
49,FL_NC,6A,22,8,80.65,0.0012,0.0049,0.0037,,,,,,,,,,,,,,,,,,
49,FL_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
49,FL_NC,7A,22,2,97.49,0.0008,0.0029,0.0021,,,,,,,,,,,,,,,,,,
49,FL_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
49,FL_NC,8A,,,,,,,,,,,,,,,,,,,,,,,,
